initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,Assassin de la culture,,Mardi 24,24h,Cathédrale St Julien,,-100millions,sv,Reprises du groupe Suicide,Kristel M,proto punk,,,,,,,,,,,,,
jlb/bea,,,Jeudi 12,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 18€,sv,What will have been,Circa,Art de la piste,,,,,,,,,,,,,
jlb/bea,,,Mercredi 4,20h,Centre Culturel Athéna,La Ferté-Bernard,8 à 18€,sv,En finir avec Jimmy Bellegueule,Cie résonnances,théâtre,,,,,,,,,,,,,
jlb,,,Vendredi 6,18h,Cirque Mimulus (au chapiteau),Fresnay-sur-Sarthe,0 €,sv,,,Cités en lumière,,,,,,,,,,,,,
jlb,,,Dimanche 22,16h30,Cité du cirque,,5 à 12€,sv,Instable,Collectif sismique,cirque,,,,,,,,,,,,,
jlb,,,Dimanche 8,16h30,Cité du cirque,,5 à 12€,sv,"Mikado, petit récit d'éffondrements",Collectif sous les manteaux,cirque,,,,,,,,,,,,,
jlb,,,Jeudi 12,19h,Cité du cirque,,5 à 12€,sv,Aimons-nous vivants,MMFF,cirque,,,,,,,,,,,,,
jlb,,,Lundi 23,16h30,Cité du cirque,,5 à 12€,sv,Instable,Collectif sismique,cirque,,,,,,,,,,,,,
jlb,,,Samedi 14,20h30,Cité du cirque,,5 à 12€,sv,Aimons-nous vivants,MMFF,cirque,,,,,,,,,,,,,
jlb,,,Samedi 21,20h30,Cité du cirque,,5 à 12€,sv,Instable,Collectif sismique,cirque,,,,,,,,,,,,,
jlb,,,Samedi 7,20h30,Cité du cirque,,5 à 12€,sv,"Mikado, petit récit d'éffondrements",Collectif sous les manteaux,cirque,,,,,,,,,,,,,
jlb,,,Vendredi 13,20h30,Cité du cirque,,5 à 12€,sv,Aimons-nous vivants,MMFF,cirque,,,,,,,,,,,,,
jlb,,,Vendredi 6,20h30,Cité du cirque,,complet,sv,"Mikado, petit récit d'éffondrements",Collectif sous les manteaux,cirque,,,,,,,,,,,,,
jlb,,,Samedi 7,20h30,Église,Saint-Vincent-des-Prés,0 €,sv,Concert de Sainte Cécile,Musique de Saint Vincent -des-Prés,,,,,,,,,,,,,,
zz,Association Octavius,,Dimanche 1,16h,Église,Montval-sur-Loir,tnc,sv,60' avec Bach,Liviu Badiu,récital violon,,,,,,,,,,,,,
zz,Association Octavius,,Dimanche 22,16h,Église,La Ferté-Bernard,tnc,sv,60' avec Bach,Liviu Badiu,récital violon,,,,,,,,,,,,,
zz,Association Octavius,,Dimanche 8,16h,Église,Arnage,tnc,sv,60' avec Bach,Liviu Badiu,récital violon,,,,,,,,,,,,,
jlb,,,Dimanche 22,16h,Église Notre Dame,Mamers,0 €,sv,Récital d'Orgue de Noël,Vincent Grappy,,,,,,,,,,,,,,
tu,,,Samedi 7,20h30,Église Sainte-Liboire,,0 à 21€,sv,"A Little Jazz Mass (Bob Chilcott), Nisi Dominus et Misatango (de et avec Martin Palmeri)",Orchestres et Chœur de l'Université du Mans,,,,,,,,,,,,,,
jlb,,,Jeudi 19,14h & 15h30,Ehpad 3 Vallées / Foyer résidence Le Plessis,Coulaines,0 €,sv,Babel'Est,Cie de Lily,Duo Violon/Accordéon/Voix et Marionettes,,,,,,,,,,,,,
bl,,,Dimanche 8,16h,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,5 €,sv,,Orchestre d'Harmonie du Mans,,,,,,,,,,,,,,
jlb,,,Mardi 10,18h,Espace Henri Salvador,Coulaines,"0€ coulainois ou 5,5 à 8€",sv,La Cordalinge,,Ciné concert objets,,,,,,,,,,,,,
jlb,,,Mardi 17,18h,Espace Henri Salvador,Coulaines,"0€ coulainois ou 5,5 à 8€",sv,Yélé ma petite lumière,,spectacle musical lumineux,,,,,,,,,,,,,
jlb,,,Mardi 3,18h,Espace Henri Salvador,Coulaines,0 €,sv,Huellas Pequenas,Cie Hold Up and Co,Théâtre,,,,,,,,,,,,,
jlb,,,Dimanche 1,17h,Espace Ronsard,,25 à 30€,sv,Le droit au bonheur,Olivier de Benoist,Théâtre,,,,,,,,,,,,,
jlb,,,Samedi 7,20h30,Espace Saugonna,Mamers,24 €,sv,Yolo,Aymeric Lompret,One Man Show,,,,,,,,,,,,,
bl,,,Vendredi 6,20h30,Espace Scélia,Sargé-lès-le-Mans,10 à 13€,sv,Grands soirs,Tarmac Rodéo,jazz-punk,,,,,,,,,,,,,
bl,,,Mardi 3,18h30,Espace Scélia,Sargé-lès-le-Mans,5 à 7€,sv,Le cri des minuscules,"Cie Ne dites pas non, vous avez souri",conte musical et visuel / jeune public,,,,,,,,,,,,,
zz,,,Vendredi 13,20h30,Eve scène universitaire,,0 €,c,,Sympho'Campus,,,,,,,,,,,,,,
jlb/bea,,,Mercredi 18,20h30,Eve scène universitaire,,12 €,sv,ça ira,Cie MF,danse & humour,,,,,,,,,,,,,
tu,,,Mercredi 4,20h30,Eve scène universitaire,,0 à 12€,sv,Une vampire au soleil,Cie Le Cri de l'Armoire,th.,,,,,,,,,,,,,
tu,Noël au Hangar,,Samedi 7,14h-22h,Hangar Créalab,,0 €,c,,Djacquline Sauvage,dj set,,,,,,,,,,,,,
pl,Soirée Starter 2024,,Vendredi 13,20h30,L'Alambik MJC Ronceray,,0 €,c,,A2ele,hyperpop,,Styf,rap,,Sanchez,rap,,,,,,,
