initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
pl,Superforma,,Samedi 10,20h30,Théâtre de Chaoué,Allonnes,6€ à 13 €,c,,Bruit noir,spoken post rock,,Gontard,spoken rock,,,,,,,,https://superforma.fr/agenda/bruit-noir-gontard,,
jlb,,,Samedi 17,20h,Bistro Broc Café,Changé,0 €,c,,Trio Vannier,"chanson française, folk avec des teintes de blues et de jazz.",,Grisbyband,soul funk,,,,,,,,,,
zz,,,Samedi 17,20h,Boire du bon,Saint-Pavace,15 €,c,,In time trio,jazz,,,,,,,,,,,,,
tu,,,Samedi 17,20h30,Espace Le Narais,Saint-Mars-la-Brière,4 à 10€,c,,début de bal,trio vocal,,poolidor,hypno-trad électro,,,,,,,,,,
tu,Superforma,,Samedi 17,20h30,L'Alambik MJC Ronceray,,8 à 13 €,c,,8°6 CREW,ska redskin reggae,,DIRTY OLD MAT,ch.punk,,,,,,,,,,
bl,,,Samedi 17,20h30,L'Entracte,Sablé-sur-Sarthe,38 à 42€,c,,Goldmen,musique,,,,,,,,,,,,,
tu,,,Samedi 17,21h,Le Zoo,,au chapeau,c,,Mat Mathis & Didier,rock blues,,,,,,,,,,,,,
zz,,,Samedi 17,20h,Salle Polyvalente,Brette-les-Pins,9 €,c,,war heroes,tribute to jimi hendrix,,brains connection,électro libre,,,,,,,,,,
ce,Orga Cooking Chaos,,Samedi 24,21h,Blue Zinc,,au chapeau,c,,Arhios + Among tides,rock altrumental,,,,,,,,,,,,,
zz,,,Samedi 24,20h,Boire du bon,Saint-Pavace,10 €,c,,Stan Lafférière & Nicolas Rousserie,jazz,,,,,,,,,,,,,
tu,,,Samedi 24,20h30,Brasserie Septante Deux,,prix libre,c,,Pierre Gisèle,Pop en Français/Bordeaux,,,,,,,,,,,,,
tu,,,Samedi 24,21h,Le Barouf,,0 €,c,,only wax #38 feat dj moar,"hip hop , funk , Soul",,La Carotte & Dj Vince,urban dj set,,,,,,,,,,
tu,,,Samedi 24,21h,Le Zoo,,au chapeau,c,,Matt Olmek,vinyle techno,,,,,,,,,,,,,
zz,,,Samedi 3,20h,Boire du bon,Saint-Pavace,15 €,c,,Philippe Duchemin / Patricia Lebeugle / Nicolas Peslier,Trio jazz,,,,,,,,,,,,,
tu,,,Samedi 3,21h,Le Zoo,,au chapeau,c,,Début de Bal,trio vocal,,,,,,,,,,,,,
ba,,,Vendredi 16,19h30,Bar l'Olivier,Le Mans,0 €,c,,Sandra Caroll & Mat Mathis,"Musique Blues,Soul,Gospel",,,,,,,,,,,,,
ce,,,Vendredi 16,21h,Blue Zinc,,au chapeau,c,,Run Ronnie Run,rock,,,,,,,,,,,,,
tu,Soirée Aspects,"House, ̥Techno, ̥Djing",Vendredi 16,18h-6h,Hall d'Antarès,,"12€ prévente, 16€ s. place",c,,didier allyne,rex club/paris,,atemi,days/Abstrack/nantes,,karine,closer/berlin/kiev,,"paco vs gio, anilan, etc..",,,,,
zz,,,Vendredi 16,20h30,L’Éolienne,Arnage,7 à 14€,c,,Thomas Kahn,soul,,,,,,,,,,,,,
tu,,,Vendredi 16,21h,Le Zoo,,au chapeau,c,,Etienne tout seul,ch. fr.,,,,,,,,,,,,,
tu,Superforma,,Vendredi 16,20h30,Théâtre de Chaoué,Allonnes,6 à 13 €,c,,glauque + drache,indie rap,,,,,,,,,,,https://superforma.fr/agenda/glauque-drache,,
ce,,,Vendredi 2,21h,Blue Zinc,,au chapeau,c,,Angle Mort,rock,,,,,,,,,,,,,
tu,Collectif Clair x BSD,Exposition + Live Machine,Vendredi 2,19h,Brasserie Septante Deux,,prix libre,c,,KØNY ,Concert Industriel Électromagnétique,,WONANG ,Drum&Bass Expérimental,,HNO3,Performance Sonore,,,,,,,
