,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"CE",,,"Jeudi 2","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Nicole & Yves","ch. fr. ","Session musique irlandaise",,,,,,,,,
"BJL",,,"Jeudi 2","20h30","Les Saulnières ","Le Mans","13 à 17 €","c",,"ANTIBALAS","Afrobeat","BAD FAT","Hip Hop",,,,,"https://antibalas.com","https://fr-fr.facebook.com/BadFatMusic",,
"BJL",,,"Jeudi 2","20h30","salle Jean Carmet","Allonnes","15 à 21 €","c",,"DEBOUT SUR LE ZINC","Chanson/Folk",,,,,,,"https://www.facebook.com/DeboutSurLeZinc",,,
"JB",,,"Jeudi 23","20h","Brasserie Septante Deux",,"0 €","c",,"Solal and the brats","rock","Cloudsurfers","garage rock",,,,,"https://www.youtube.com/watch?v=E6JO2vVyFp8",,,
"al",,,"Jeudi 23","22h30","chapiteau promenade Newton",,"0 €","c",,"Le band à Tyrex","reprise Pop sauce Tyrex",,,,,,,"https://www.youtube.com/watch?v=9VA2VDRInL0",,,
"JB",,,"Jeudi 23","21h","Le Barouf",,"0 €","c",,"Lewsberg","post punk hollandais",,,,,,,"https://www.youtube.com/watch?v=4C2_XK9LTEY",,,
"JB",,,"Jeudi 23","20h","Le Pilier Rouge",,"au chapeau","c",,"Burger Airport","jazz fusion funk",,,,,,,"https://www.youtube.com/watch?v=Okd9zwMixTE",,,
"CE",,,"Jeudi 23","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"STUVEU & FAHRENHEIT ","Bal trad. breton-sarthois",,,,,,,,,,
"CE","Apéro sur le Zinc",,"Jeudi 30","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Standard Jazz Band","jazz/blues/bossa","Session musique irlandaise",,,,,,,,,
"JB","La Fourche à Tigre",,"Jeudi 9","20h","Brasserie Septante Deux",,"prix libre","c",,"Baston","rock","Gleam","rock",,,,,,,,
"JB",,,"Jeudi 9","20h","Le Pilier Rouge",,"0 €","c",,"Roy Vision","dj set world music mix",,,,,,,"https://www.youtube.com/watch?v=3nGpPpjz_1U","https://www.facebook.com/royvision.rv",,
"CE","Apéro sur le Zinc",,"Jeudi 9","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Octo Jazzy","ambiance jazz",,,,,,,,,,
"JB",,,"Lundi 13","19h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Scène ouverte musiciens et comédiens amateurs",,,,,,,,,,,
"JB",,,"Lundi 20","19h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Scène ouverte musiciens et comédiens amateurs",,,,,,,,,,,
"JB",,,"Lundi 27","19h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Scène ouverte musiciens et comédiens amateurs",,,,,,,,,,,
"JB",,,"Lundi 6","19h","Guinguette de la Gèmerie","Arnage","0 €","c",,"Scène ouverte musiciens et comédiens amateurs",,,,,,,,,,,
"JB",,,"Mardi 21","20h","Brasserie Septante Deux",,"0 €","c",,"Still","rock indé","Collectif 3h10","jazz hors piste",,,,,,,,
"BJL",,,"Mardi 21","20h","centre ville","Le Mans","0 €","c",,"ATOEM","Electro",,,,,,,"https://www.facebook.com/atoemmusic",,,
"JB",,,"Mardi 21","20h","Le Guet à Pintes",,"0 €","c",,"La dernière goutte","rock",,,,,,,"https://www.youtube.com/watch?v=EvM3LtLB8e4",,,
"JB",,,"Mardi 21","20h","Le Lapin Blanc",,"0 €","c",,"Rendez-vous","rock","Smak Fly","dj set",,,,,,,,
"JB",,,"Mardi 21","21h","Le Zoo",,"au chapeau","c",,"Paul","folk blues rock",,,,,,,,,,
"CE",,,"Mardi 28","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Gr vocal Quai de Scène","Souchon & Voulzy revisités",,,,,,,,,,
"JB","Moth Frequency",,"Mardi 7","20h30","Brasserie Septante Deux",,"prix libre","c",,"Mong Tong","psych pop ",,,,,,,"https://www.youtube.com/watch?v=kwHcZaPLl58",,,
"CE","Apéro swing",,"Mardi 7","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Elie Nourry & Pierre-Ugo Plecis","jazz/swing",,,,,,,,,,
"JB",,,"Mercredi 1","20h30","26 rue Gambetta (ancien ciné le Français)",,"tnc, résa : 06 33 59 08 07","c",,"Henriette et les garçons","ch. fr.",,,,,,,,,,
"TU","43e Europajazz Festival",,"Mercredi 1","19h00","Abbaye Royale de l’Epau",,"18 à 24€","c",,"LOUIS SCLAVIS « LES CADENCES DU MONDE »",,"Erik Truffaz & le choeur Émelthée","chants liturgiques médiévaux et jazz",,,,,"https://www.youtube.com/watch?v=Ka71AWESZ6g","https://www.youtube.com/watch?v=HttJeWAj-mU",,
"JB",,,"Mercredi 1","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Jérémy Dutheil trio","jazz manouche",,,,,,,,,,
"JB",,,"Mercredi 1","19h","Le Zoo",,"au chapeau","c",,"Jam St Co Musicos","jam session",,,,,,,,,,
