date|event

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ACID GRAS</strong> <em>(garage punk)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Superforma fête ses 10 ans // <strong>THÉA</strong> <em>(post pop)</em></span><br>&nbspL'Alambik MJC Ronceray <br>&nbsp20h30, 7 à 14€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Anonyme passager"</strong>  <em>(monologue musical)</em></span><br>&nbspThéâtre du Passeur <br>&nbsp10h30 & 14h30, 8 à 10€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Sortie de résidence // <strong>Cie Alta Gama</strong> <em>(cirque, porté accrobatique)</em></span><br>&nbspCité du cirque <br>&nbsp20h, 0€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"L’inoubliable histoire de Juliette et de son Roméo"</strong> Les Assoifées d'Azur <em>(th.)</em></span><br>&nbspThéâtre de Chaoué Allonnes, <br>&nbsp20h, 5/8€ ou +</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa sms au 07 81 84 35 62</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspLe Val de Vray Saint-Saturnin, <br>&nbsp20h30, 12 à 15€</p>

24|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"La pomme empoisonnée"</strong> Pan ! La Cie <em>(th. à partir de 9 ans)</em></span><br>&nbspThéâtre Épidaure Bouloire, <br>&nbsp20h30, 5 à 10€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ALIX LOGIACO TRIO</strong> <em>(jazz)</em></span><br>&nbspBoire du bon Saint-Pavace, <br>&nbsp20h, 15€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Ma Région Vituose // <strong> Orchestre symphonique du perche saonois</strong></span><br>&nbspCentre Culturel Athéna La Ferté-Bernard, <br>&nbsp20h, tnc</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Superforma fête ses 10 ans // <strong>BAGARRE</strong> <em>(pop rave)</em><strong> + PAMELA</strong> <em>(electro pop)</em><strong> + NOUS ÉTIONS UNE ARMÉE</strong> <em>(spoken post-punk)</em></span><br>&nbspL'Oasis <br>&nbsp20h, 13 à 20€</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Tempo // <strong> Scène ouverte + jam</strong></span><br>&nbspLe Lapin Blanc <br>&nbsp20h, au chapeau</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>LES GRANDS GAMINS</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

25|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>MYSTICODD</strong> <em>(pop rock)</em></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

